site_code,2015,2016,2017,2018,2019,2020
C1-S1,4,1,2,NA,3,NA
C1-S2,4,1,2,NA,1,NA
C1-S3,4,1,2,NA,1,NA
C1-S4,4,1,2,NA,1,NA
C1-S5,4,1,2,NA,1,NA
C12-S2,4,3,1,NA,1,4
C12-S3,3,2,1,NA,NA,7
C12-S4,3,2,1,NA,NA,7
C12-S5,2,3,1,NA,1,5
C12-S6,4,1,1,NA,1,5
C13-S4,1,1,NA,NA,NA,NA
C14-S1,1,NA,NA,3,NA,NA
C14-S2,3,NA,NA,2,NA,1
C14-S3,1,NA,NA,3,1,NA
C18-S1,1,NA,1,NA,NA,NA
C18-S2,1,NA,NA,NA,NA,NA
C19-S1,12,4,1,5,2,NA
C19-S2,26,4,NA,3,10,NA
C19-S4,31,4,NA,3,10,NA
C19-S5,2,NA,2,NA,1,4
C19-S6,2,2,NA,1,3,4
C2-S1,2,2,NA,NA,NA,1
C2-S2,1,4,NA,NA,NA,1
C2-S3,1,NA,NA,1,NA,NA
C20-S4,1,NA,NA,NA,1,NA
C200-S1,1,4,NA,NA,NA,1
C200-S2,1,4,NA,NA,NA,1
C200-S3,2,4,2,NA,NA,NA
C200-S4,2,3,2,NA,NA,NA
C200-S5,3,10,4,1,NA,NA
C201-S1,1,NA,NA,NA,1,NA
C201-S2,1,NA,NA,1,1,NA
C203-S2,1,NA,NA,NA,1,NA
C205-S1,1,3,NA,NA,2,NA
C206-S1,2,NA,NA,NA,1,1
C206-S2,2,NA,NA,NA,7,NA
C209-S1,2,1,NA,NA,NA,NA
C21-S1,1,NA,1,1,NA,1
C21-S2,1,1,1,2,NA,1
C21-S3,1,1,1,2,NA,1
C22-S1,1,1,NA,NA,NA,NA
C22-S2,1,1,NA,NA,NA,NA
C22-S5,1,1,NA,NA,NA,NA
C22-S8,1,1,NA,NA,NA,NA
C24-S1,1,2,4,2,1,NA
C24-S6,1,1,4,1,1,NA
C24-S7,1,1,4,2,1,NA
C34-S1,3,1,2,3,NA,NA
C34-S2,3,1,2,2,NA,NA
C39-S1,2,NA,NA,1,NA,NA
C39-S3,4,NA,1,1,NA,2
C400-S1,1,NA,NA,1,NA,NA
C400-S2,1,NA,NA,NA,2,NA
C42-S1,4,NA,3,1,NA,NA
C42-S2,1,NA,NA,NA,NA,NA
C42-S5,2,NA,3,1,NA,NA
C46-S1,4,1,NA,6,3,1
C48-S1,1,1,NA,NA,NA,NA
C48-S2,1,1,NA,NA,NA,NA
C48-S3,1,1,NA,NA,NA,NA
C48-S4,1,1,NA,NA,NA,NA
C500-S1,1,NA,1,NA,NA,NA
C500-S2,1,NA,1,NA,NA,NA
C503-S1,2,NA,7,6,NA,NA
C503-S2,1,1,5,5,NA,NA
C54-S1,2,1,1,NA,NA,NA
C54-S2,2,NA,1,NA,NA,NA
C54-S3,1,1,1,2,NA,NA
C58-S2,1,2,NA,NA,NA,NA
C6-S1,1,NA,NA,3,NA,NA
C6-S2,1,NA,NA,3,NA,NA
C6-S3,1,NA,NA,3,NA,NA
C6-S4,1,1,NA,3,NA,NA
C75-S1,4,2,3,NA,NA,11
C75-S2,4,2,5,NA,NA,5
C75-S3,4,2,5,NA,NA,6
C75-S4,4,2,3,NA,NA,13
C79-S1,2,NA,1,1,NA,NA
C79-S2,2,NA,2,1,NA,NA
C81-S2,2,1,NA,1,NA,NA
C81-S4,2,1,NA,1,NA,NA
C105-S1,NA,1,NA,NA,NA,NA
C105-S2,NA,1,NA,NA,1,NA
C108-S1,NA,1,NA,NA,1,NA
C108-S3,NA,1,NA,NA,1,NA
C108-S4,NA,1,NA,NA,1,NA
C13-S1,NA,1,NA,NA,1,NA
C202-S1,NA,3,NA,NA,6,NA
C204-S1,NA,2,NA,NA,NA,NA
C204-S2,NA,2,NA,NA,NA,NA
C205-S2,NA,3,NA,NA,4,NA
C209-S2,NA,1,NA,NA,NA,NA
C22-S3,NA,2,NA,2,NA,1
C22-S4,NA,1,NA,1,NA,1
C22-S6,NA,1,NA,1,NA,1
C22-S7,NA,1,NA,NA,NA,NA
C24-S2,NA,1,2,3,1,NA
C24-S3,NA,5,2,5,1,NA
C41-S1,NA,1,NA,1,NA,1
C41-S2,NA,1,NA,2,NA,1
C46-S2,NA,1,1,1,NA,NA
C501-S1,NA,2,NA,NA,NA,NA
C501-S2,NA,2,NA,NA,NA,NA
C58-S1,NA,2,NA,NA,NA,NA
C58-S3,NA,2,NA,NA,NA,NA
C78-S1,NA,3,6,NA,1,1
C78-S2,NA,3,6,NA,1,1
C208-S1,NA,NA,3,NA,NA,NA
C208-S2,NA,NA,4,NA,NA,NA
C24-S4,NA,NA,2,3,NA,NA
C24-S5,NA,NA,2,3,1,NA
C39-S2,NA,NA,2,1,NA,1
C62-S1,NA,NA,1,NA,2,NA
C62-S2,NA,NA,1,NA,2,NA
C66-S1,NA,NA,3,NA,1,2
C83-S1,NA,NA,1,1,3,NA
C83-S2,NA,NA,1,1,3,NA
C20-S1,NA,NA,NA,1,1,NA
C20-S3,NA,NA,NA,2,1,NA
C203-S1,NA,NA,NA,1,1,NA
C42-S3,NA,NA,NA,1,NA,NA
C65-S1,NA,NA,NA,3,1,1
C65-S2,NA,NA,NA,3,1,1
C65-S3,NA,NA,NA,2,NA,1
C65-S4,NA,NA,NA,2,1,NA
C65-S5,NA,NA,NA,1,NA,NA
C65-S6,NA,NA,NA,1,NA,2
C81-S1,NA,NA,NA,1,NA,NA
C81-S3,NA,NA,NA,1,NA,NA
C84-S1,NA,NA,NA,1,NA,NA
C84-S2,NA,NA,NA,1,NA,NA
C95-S2,NA,NA,NA,1,NA,NA
C108-S2,NA,NA,NA,NA,3,1
C108-S6,NA,NA,NA,NA,2,NA
C108-S7,NA,NA,NA,NA,3,1
C13-S2,NA,NA,NA,NA,1,NA
C13-S3,NA,NA,NA,NA,1,NA
C19-S3,NA,NA,NA,NA,2,NA
C20-S2,NA,NA,NA,NA,1,NA
C29-S1,NA,NA,NA,NA,1,1
C29-S2,NA,NA,NA,NA,1,1
C37-S1,NA,NA,NA,NA,1,NA
C37-S2,NA,NA,NA,NA,1,NA
C37-S3,NA,NA,NA,NA,1,NA
C37-S4,NA,NA,NA,NA,1,NA
C40-S2,NA,NA,NA,NA,2,NA
C44-S1,NA,NA,NA,NA,1,1
C44-S2,NA,NA,NA,NA,1,1
C44-S4,NA,NA,NA,NA,1,1
C52-S1,NA,NA,NA,NA,3,NA
C52-S2,NA,NA,NA,NA,1,NA
C7-S1,NA,NA,NA,NA,1,NA
C7-S2,NA,NA,NA,NA,2,NA
C7-S3,NA,NA,NA,NA,2,NA
C7-S4,NA,NA,NA,NA,1,NA
C78-S3,NA,NA,NA,NA,1,NA
C78-S4,NA,NA,NA,NA,1,NA
C44-S3,NA,NA,NA,NA,NA,1
C44-S5,NA,NA,NA,NA,NA,1
C44-S6,NA,NA,NA,NA,NA,1
C74-S3,NA,NA,NA,NA,NA,1
